date,retweets,source,author,likes
12/22/2020 23:22,71,Twitter Web App,GO GREEN,91
12/10/2020 14:30,14,Twitter for Advertisers,Elsevier Energy,98
12/22/2020 21:28,0,Twitter Web App,Arwyn Thomas,1
12/22/2020 21:24,0,Twitter Web App,"Tom Gillispie, EDITOR/WRITER",0
12/21/2020 22:52,1,Twitter Web App,"Tom Gillispie, EDITOR/WRITER",1
12/21/2020 15:45,0,Hootsuite Inc.,MapsofWorld,0
12/21/2020 13:00,0,Hootsuite Inc.,EHN,1
12/20/2020 19:28,0,Twitter Web App,"Tom Gillispie, WRITER/EDITOR",0
12/20/2020 13:21,6,Twitter for iPhone,Chris Fox,8
12/18/2020 20:17,1,Twitter Web App,"Greg Byrne, NL_Expatriate",1
12/18/2020 20:16,0,Twitter Web App,"Greg Byrne, NL_Expatriate",0
12/18/2020 12:56,0,Twitter for iPhone,Alex Morrison M.S. will get vaccinated,0
12/18/2020 12:00,0,Hootsuite Inc.,Daily Climate,0
12/17/2020 4:18,0,Twitter for Android,Eric Mack,0
12/16/2020 22:46,0,Twitter Web App,"Tom Gillispie, EDITOR/WRITER",1
12/16/2020 20:24,0,Twitter Web App,"Greg Byrne, NL_Expatriate",4
12/15/2020 16:32,0,Twitter for iPhone,Mrunmayee Padhye,0
12/15/2020 5:55,1,Twitter Web App,Terracon Ecotech Pvt. Ltd.,0
12/14/2020 16:04,0,Twitter Web App,Lucy P. Marcus,0
12/13/2020 11:21,0,Twitter Web App,Maraaz.Com,0
12/11/2020 15:44,0,Twitter Web App,mERIChristmas🎄,7
12/11/2020 5:12,0,Twitter for Android,Mrityunjay,0
12/9/2020 19:17,1,Twitter Web App,rituparna bharat sarma,3
12/9/2020 16:58,0,Twitter for iPhone,The World's Troubles,0
12/9/2020 15:55,0,Twitter for iPhone,WPaSportsFan,0
12/9/2020 10:07,1,Twitter Web App,Open Book Publishers,0
12/8/2020 11:41,0,Twitter Web App,Open Book Publishers,0
12/8/2020 11:41,2,Twitter Web App,Open Book Publishers,4
12/7/2020 9:42,5,Twitter Web App,Your Planet Earth,9
12/7/2020 5:58,1,Twitter Web App,Anna - we need a renewable energy recovery 🌏🌞🐨,1
12/4/2020 17:27,0,Twitter for iPhone,Hobo Crackerbags,1
12/4/2020 10:00,0,Hootsuite Inc.,Daily Climate,0
12/2/2020 16:09,0,Twitter for Android,Centre for Cultural Resources and Training,1
12/2/2020 15:20,2,TweetDeck,TRF Climate,2
12/1/2020 15:19,0,Twitter for Android,Andreas Geiges,0
11/27/2020 20:01,1,Twitter Web App,"Tom Gillispie, EDITOR/WRITER",0
11/26/2020 20:01,0,Twitter Web App,"Greg Byrne, NL_Expatriate",0
11/26/2020 19:56,0,Twitter Web App,"Greg Byrne, NL_Expatriate",0
11/26/2020 19:49,0,Twitter Web App,"Greg Byrne, NL_Expatriate",0
11/26/2020 15:07,0,Twitter Web App,Edaqa 😊 Mortoray,1
11/26/2020 12:28,0,Twitter for iPhone,Lostoutwest🇨🇦,1
11/24/2020 18:22,3,Twitter Web App,GO GREEN,7
11/24/2020 1:37,0,Twitter for iPhone,N͜͡a͜͡n͜͡a͜͡,0
11/21/2020 17:41,0,Twitter Web App,"Tom Gillispie, WRITER/EDITOR",0
11/21/2020 15:00,0,Twitter Web App,Moo Dog Press,0
11/20/2020 18:12,0,Twitter Web App,C Brunel-Ligneau,0
11/18/2020 13:04,2,Twitter Web App,KY Green Party🌻,2
11/18/2020 11:10,0,Twitter for Android,DICERE,2
11/18/2020 5:58,1,Twitter Web App,naagriknews,0
11/17/2020 10:06,0,Twitter for Android,Studio 63,1
11/17/2020 7:39,0,Hootsuite Inc.,Howell W. Woltz,0
11/16/2020 21:48,0,Twitter for Android,🇯🇵 九龍_🔰株式投資/⛩️神社参拝/空手/中国語/英語,6
11/15/2020 6:40,0,Twitter for Android,"Greg Byrne, NL_Expatriate",0
11/15/2020 6:27,0,Twitter for Android,"Greg Byrne, NL_Expatriate",0
11/14/2020 2:19,0,Twitter Web App,"Greg Byrne, NL_Expatriate",0
